Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: US Airways Inc. (US)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"US","02/03/2015","1830","N112US","CLT","11:01","10:56"
"US","02/03/2015","2017","N122US","CLT","16:05","15:55"
"US","02/03/2015","2042","N187US","CLT","09:19","10:28"
"US","02/04/2015","0425","N519UW","PHX","16:54","16:52"
"US","02/04/2015","0622","N675AW","PHX","23:09","23:10"
"US","02/04/2015","0630","N199UW","PHX","20:30","20:27"
"US","02/04/2015","0698","N581UW","CLT","15:16","15:40"
"US","02/04/2015","1830","N122US","CLT","11:01","10:57"
"US","02/04/2015","1898","N916US","CLT","23:53","23:49"
"US","02/04/2015","2017","N121UW","CLT","16:05","15:55"
"US","02/04/2015","2042","N546UW","CLT","09:19","09:55"
"US","02/05/2015","0425","N562UW","PHX","16:54","16:52"
"US","02/05/2015","0622","N663AW","PHX","23:09","23:13"
"US","02/05/2015","0630","N167US","PHX","20:30","20:35"
"US","02/05/2015","0632","N199UW","PHX","05:07","05:32"
"US","02/05/2015","0698","N559UW","CLT","15:16","15:49"
"US","02/05/2015","1830","N108UW","CLT","11:01","10:44"
"US","02/05/2015","1898","N561UW","CLT","23:53","23:52"
"US","02/05/2015","2017","N127UW","CLT","16:05","15:58"
"US","02/05/2015","2042","N183UW","CLT","09:19","08:57"
"US","02/06/2015","0425","N152UW","PHX","16:54","16:53"
"US","02/06/2015","0622","N680AW","PHX","23:09","00:36"
"US","02/06/2015","0632","N576UW","PHX","05:07","05:22"
"US","02/06/2015","0698","N184US","CLT","15:16","15:12"
"US","02/06/2015","1830","N124US","CLT","11:01","10:58"
"US","02/06/2015","1898","N173US","CLT","23:53","00:02"
"US","02/06/2015","2017","N105UW","CLT","16:05","15:55"
"US","02/06/2015","2042","N191UW","CLT","09:19","09:33"
"US","02/07/2015","0425","N180US","PHX","16:54","17:17"
"US","02/07/2015","0622","N658AW","PHX","23:09","23:12"
"US","02/07/2015","0630","N539UW","PHX","20:30","20:35"
"US","02/07/2015","0698","N163US","CLT","15:16","15:10"
"US","02/07/2015","1830","N839AW","CLT","11:01","10:56"
"US","02/07/2015","1898","N192UW","CLT","23:53","00:34"
"US","02/07/2015","2017","N624AW","CLT","16:05","15:55"
"US","02/07/2015","2042","N169UW","CLT","09:19","09:00"
"US","02/08/2015","0425","N579UW","PHX","16:54","16:45"
"US","02/08/2015","0622","N672AW","PHX","23:09","23:55"
"US","02/08/2015","0630","N543UW","PHX","20:30","20:36"
"US","02/08/2015","0632","N163US","PHX","05:07","05:24"
"US","02/08/2015","0698","N177US","CLT","15:16","15:06"
"US","02/08/2015","1830","N188US","CLT","11:01","11:03"
"US","02/08/2015","1898","","CLT","23:53","00:00"
"US","02/08/2015","2017","N107US","CLT","16:05","16:19"
"US","02/09/2015","0425","N542UW","PHX","16:54","17:06"
"US","02/09/2015","0622","N547UW","PHX","23:09","23:16"
"US","02/09/2015","0630","N536UW","PHX","20:30","22:22"
"US","02/09/2015","0698","N507AY","CLT","15:16","17:03"
"US","02/09/2015","1830","N128UW","CLT","11:01","11:19"
"US","02/09/2015","2017","N111US","CLT","16:05","18:25"
"US","02/09/2015","2042","","CLT","09:19","00:00"
"US","02/10/2015","0425","N545UW","PHX","16:54","16:52"
"US","02/10/2015","0622","N662AW","PHX","23:09","23:55"
"US","02/10/2015","0698","N580UW","CLT","15:16","15:30"
"US","02/10/2015","1830","N118US","CLT","11:01","11:45"
"US","02/10/2015","2017","N111US","CLT","16:05","16:00"
"US","02/10/2015","2042","N156UW","CLT","09:19","09:15"
"US","02/11/2015","0425","N154UW","PHX","16:54","16:33"
"US","02/11/2015","0622","N676AW","PHX","23:09","23:10"
"US","02/11/2015","0630","N915US","PHX","20:30","20:20"
"US","02/11/2015","0698","N538UW","CLT","15:16","15:24"
"US","02/11/2015","1830","N111US","CLT","11:01","10:58"
"US","02/11/2015","2017","N128UW","CLT","16:05","15:55"
"US","02/11/2015","2042","N562UW","CLT","09:19","09:04"
"US","02/12/2015","0425","N914UY","PHX","16:54","17:05"
"US","02/12/2015","0622","N655AW","PHX","23:09","23:27"
"US","02/12/2015","0630","N521UW","PHX","20:30","20:48"
"US","02/12/2015","0632","N672AW","PHX","05:07","05:22"
"US","02/12/2015","0639","N569UW","CLT","15:16","15:00"
"US","02/12/2015","1830","N127UW","CLT","11:01","10:52"
"US","02/12/2015","1898","N544UW","CLT","23:53","23:54"
"US","02/12/2015","2017","N119US","CLT","16:05","16:12"
"US","02/12/2015","2042","N103US","CLT","09:19","09:12"
"US","02/13/2015","0425","N553UW","PHX","16:54","16:43"
"US","02/13/2015","0622","N677AW","PHX","23:09","23:17"
"US","02/13/2015","0630","N155UW","PHX","20:30","21:00"
"US","02/13/2015","0632","N650AW","PHX","05:07","06:03"
"US","02/13/2015","0639","N580UW","CLT","15:16","15:11"
"US","02/13/2015","1830","N653AW","CLT","11:01","11:25"
"US","02/13/2015","1898","N196UW","CLT","23:53","23:42"
"US","02/13/2015","2017","N104UW","CLT","16:05","15:53"
"US","02/13/2015","2042","N122US","CLT","09:19","10:04"
"US","02/14/2015","0425","N521UW","PHX","16:54","17:02"
"US","02/14/2015","0622","","PHX","23:09","00:00"
"US","02/14/2015","0630","","PHX","20:30","00:00"
"US","02/14/2015","0639","N556UW","CLT","15:16","15:05"
"US","02/14/2015","1830","N805AW","CLT","11:01","11:01"
"US","02/14/2015","1898","","CLT","23:53","00:00"
"US","02/14/2015","2017","N654AW","CLT","16:05","16:02"
"US","02/14/2015","2042","N803AW","CLT","09:19","09:18"
"US","02/15/2015","0425","N578UW","PHX","16:54","16:37"
"US","02/15/2015","0622","N179UW","PHX","23:09","22:56"
"US","02/15/2015","0632","N664AW","PHX","05:07","04:34"
"US","02/15/2015","0639","N587UW","CLT","15:16","15:13"
"US","02/15/2015","1830","","CLT","11:01","00:00"
"US","02/15/2015","1898","N550UW","CLT","23:53","00:15"
"US","02/15/2015","2017","N751UW","CLT","16:05","15:59"
"US","02/16/2015","0425","N519UW","PHX","16:54","16:18"
"US","02/16/2015","0622","N654AW","PHX","23:09","23:01"
"US","02/16/2015","0630","N562UW","PHX","20:30","20:24"
"US","02/16/2015","0639","N155UW","CLT","15:16","15:10"
"US","02/16/2015","1830","N117UW","CLT","11:01","10:56"
"US","02/16/2015","1898","","CLT","23:53","00:00"
"US","02/16/2015","2017","N122US","CLT","16:05","16:13"
"US","02/16/2015","2042","N121UW","CLT","09:19","09:52"
"US","02/17/2015","0425","N564UW","PHX","16:54","16:52"
"US","02/17/2015","0622","N640AW","PHX","23:09","23:04"
"US","02/17/2015","0630","N587UW","PHX","20:30","21:30"
"US","02/17/2015","0639","","CLT","15:16","00:00"
"US","02/17/2015","1830","","CLT","11:01","00:00"
"US","02/17/2015","1898","N560UW","CLT","23:53","23:52"
"US","02/17/2015","2017","N650AW","CLT","16:05","17:40"
"US","02/17/2015","2042","","CLT","09:19","00:00"
"US","02/18/2015","0425","N582UW","PHX","16:54","16:59"
"US","02/18/2015","0622","N675AW","PHX","23:09","22:56"
"US","02/18/2015","0639","N552UW","CLT","15:16","15:15"
